"","Site","date","days_total","days_to_reach","active_days","days_to.return","target_volume","elasmo_volume","target_income","elasmo_income","investment","target_group"
"237","Kakinada","45477",21,"1",29,"1",5021,22,630013,7,134371," Others "
"114","Kochi","20-08-2024",23,"4",34,"4",1615,807,240024,120007,350023," Others+Shark "
"218","Kakinada","45349",32,"12hrs",31,"12hrs",413,17,337521,17,107842," Others "
"154","Kochi","06-02-2025",22,"0.5",26,"0.5",11025,18,1650016,18,300020," Others "
"193","Kakinada","45218",36,"1",38,"1",3723,113,299015,11018,193575," Others "
"283","Kakinada","45615",48,"2",48,"3",4718,215,475021,14014,348161," Others "
"326","Kakinada","45715",27,"9 hrs",34,"13 hrs",3409,14,360018,26,211230," Others "
"319","Kakinada","45705",43,"2",31,"3",4228,15,410012,16,306405," Others "
"221","Kakinada","45352",36,"1",21,"1",4125,13,445019,9,111307," Others "
"289","Kakinada","45639",31,"4hrs",26,"14 hrs",2711,28,288215,1819,216616," Others "
"285","Kakinada","45617",52,"3",52,"3",4115,19,425018,20,356867," Others "
"281","Kakinada","45611",48,"2",40,"2",4213,255,398015,12016,319465," Others "
"297","Kakinada","45677",42,"12hrs",36,"20 hrs",3707,39,381016,4018,285761," Others "
"331","Kakinada","45721",29,"9 hrs",25,"14 hrs",3311,20,380012,13,186997," Others "
"340","Kochi","24-03-2025",41,"",38,"",3484,1018,622812,180023,600017,"Others"
"217","Kakinada","45348",21,"1",21,"1",3466,10,392009,13,120662," Others "
"278","Kakinada","45609",23,"4hrs",35,"5hrs",3117,17,280007,5,244067," Others "
"90","Kochi","23-03-2024",45,"6",33,"6",6515,1524,900013,150017,500007," Others "
"295","Kakinada","45665",24,"9 hrs",31,"20 hrs",4223,53,404014,6017,234671," Others "
"135","Kochi","11-11-2024",41,"10",25,"10",5540,1322,828021,195016,800016," Others "
"293","Kakinada","45659",19,"6hrs",33,"18 hrs",3818,16,395008,16,217265," Others "
"256","Kakinada","45548",19,"4 hrs",21,"5 hrs",2320,14,210017,20,179819," Others "
"106","Kochi","21-05-2024",48,"5",30,"6",7014,13,1540017,17,550024," Others "
"53","Kochi","15-05-2023",51,"9",41,"9",12013,15,2340005,9,671506," Others "
"93","Kochi","27-03-2024",61,"10",30,"10",20,8521,8,1870018,600025," Sharks "
"258","Kakinada","45552",17,"6 hrs",23,"5hrs",2314,23,219819,220,216971," Others "
"118","Kochi","06-09-2024",22,"1.5",26,"1.5",1424,20,210018,18,400021," Others "
"342","Kochi","28-03-2025",33,"",28,"",2799,251,500420,43219,700027,"Others"
"184","Kakinada","45195",35,"1",32,"1",5012,16,520009,11,287071," Others "
